
Sync-Point 0, Time: 0.015625, Redshift: 63, Systemstep: 0, Dloga: 0, Nsync-grv:    2097152, Nsync-hyd:          0
Sync-Point 115, Time: 0.0249266, Redshift: 39.1178, Systemstep: 0.000101032, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 116, Time: 0.025028, Redshift: 38.9552, Systemstep: 0.000101443, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 117, Time: 0.0251299, Redshift: 38.7933, Systemstep: 0.000101856, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 118, Time: 0.0252321, Redshift: 38.632, Systemstep: 0.00010227, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 119, Time: 0.0253348, Redshift: 38.4714, Systemstep: 0.000102686, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 120, Time: 0.0254379, Redshift: 38.3114, Systemstep: 0.000103104, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 121, Time: 0.0255415, Redshift: 38.152, Systemstep: 0.000103524, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 122, Time: 0.0256454, Redshift: 37.9934, Systemstep: 0.000103945, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 123, Time: 0.0257498, Redshift: 37.8353, Systemstep: 0.000104368, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 124, Time: 0.0258546, Redshift: 37.6779, Systemstep: 0.000104793, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 125, Time: 0.0259598, Redshift: 37.5211, Systemstep: 0.000105219, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 126, Time: 0.0260654, Redshift: 37.365, Systemstep: 0.000105648, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 127, Time: 0.0261715, Redshift: 37.2095, Systemstep: 0.000106078, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 128, Time: 0.026278, Redshift: 37.0546, Systemstep: 0.000106509, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 129, Time: 0.026385, Redshift: 36.9004, Systemstep: 0.000106943, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 130, Time: 0.0264923, Redshift: 36.7468, Systemstep: 0.000107378, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 131, Time: 0.0266001, Redshift: 36.5938, Systemstep: 0.000107815, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 132, Time: 0.0267084, Redshift: 36.4414, Systemstep: 0.000108254, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 133, Time: 0.0268171, Redshift: 36.2896, Systemstep: 0.000108694, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 134, Time: 0.0269262, Redshift: 36.1385, Systemstep: 0.000109137, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 135, Time: 0.0270358, Redshift: 35.988, Systemstep: 0.000109581, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 136, Time: 0.0271458, Redshift: 35.8381, Systemstep: 0.000110027, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 137, Time: 0.0272563, Redshift: 35.6887, Systemstep: 0.000110475, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 138, Time: 0.0273672, Redshift: 35.54, Systemstep: 0.000110924, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 139, Time: 0.0274786, Redshift: 35.3919, Systemstep: 0.000111376, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 140, Time: 0.0275904, Redshift: 35.2444, Systemstep: 0.000111829, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 141, Time: 0.0277027, Redshift: 35.0975, Systemstep: 0.000112284, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 142, Time: 0.0278155, Redshift: 34.9512, Systemstep: 0.000112741, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 143, Time: 0.0279287, Redshift: 34.8055, Systemstep: 0.0001132, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 144, Time: 0.0280423, Redshift: 34.6604, Systemstep: 0.00011366, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 145, Time: 0.0281565, Redshift: 34.5158, Systemstep: 0.000114123, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 146, Time: 0.028271, Redshift: 34.3719, Systemstep: 0.000114587, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 147, Time: 0.0283861, Redshift: 34.2285, Systemstep: 0.000115054, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 148, Time: 0.0285016, Redshift: 34.0857, Systemstep: 0.000115522, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 149, Time: 0.0286176, Redshift: 33.9435, Systemstep: 0.000115992, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 150, Time: 0.0287341, Redshift: 33.8019, Systemstep: 0.000116464, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 151, Time: 0.028851, Redshift: 33.6608, Systemstep: 0.000116938, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 152, Time: 0.0289684, Redshift: 33.5203, Systemstep: 0.000117414, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 153, Time: 0.0290863, Redshift: 33.3804, Systemstep: 0.000117892, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

