Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
00964.png,0.00060162,8.54139,0.200974,4.58182e+09,-0.412254,0.993542,222.109,2.95292,186.328,246.049,6.05006,74202.7
12159.png,0.014296,6.89777,0.476089,4.24592e+08,-0.562805,0.997579,234.577,2.3565,212.192,285.686,5.29829,94756.5
05372.png,0.000643249,7.99452,0.188263,6.93111e+08,-0.413672,0.991661,101.672,2.60622,82.543,177.128,5.72185,36038.8
15718.png,0.000569726,8.50713,0.167313,1.09611e+09,-0.343566,0.984025,225.065,3.13426,180.981,219.147,5.80299,53780.9
10351.png,0.0472204,7.32639,0.309357,1.40842e+08,-0.418742,0.988911,260.115,2.86035,224.602,286.498,5.17076,103922
04294.png,0.00135025,8.13017,0.187851,1.33242e+09,-0.402649,0.99101,240.199,2.89543,206.73,278.582,5.7335,89887.5
04331.png,0.0508329,5.55363,0.617935,2.0713e+08,-0.648566,0.997427,214.133,1.74222,203.555,362.79,4.53418,165555
12894.png,0.00264694,6.92679,0.332794,3.46883e+08,-0.555032,0.997373,54.0249,1.94531,47.4295,173.232,5.47062,37763.7
08692.png,0.0181937,6.13428,0.648376,2.34338e+08,-0.71969,0.999458,160.026,1.432,154.21,222.796,5.30326,66905.2
14560.png,0.0210129,5.6962,0.533798,2.72128e+07,-0.617324,0.996749,54.669,1.68939,49.7021,60.5207,4.64946,10907.5
15098.png,0.00227349,7.94611,0.270966,1.32117e+09,-0.465701,0.995649,245.988,2.66719,218.495,247.419,5.82923,75179.8
13930.png,0.00143958,8.40413,0.240906,2.12785e+09,-0.423735,0.99406,624.833,3.02831,571.198,223.23,5.98512,65858.4
17490.png,0.000801219,8.57036,0.237366,5.76017e+09,-0.412592,0.993665,615.334,3.09229,556.802,297.745,6.06744,103035
