Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
04667.png,0.000582481,8.37864,0.179764,2.41645e+09,-0.420195,0.993692,456.777,2.87321,414.529,245.07,5.9773,70322.6
14175.png,0.00112774,8.10853,0.199631,5.61393e+08,-0.399298,0.990516,371.026,2.88903,330.613,156.081,5.735,39039.5
14557.png,0.000432566,8.29948,0.0992584,4.68112e+08,-0.328964,0.9793,127.838,2.91546,97.5659,161.356,5.64433,30535.1
07896.png,0.00097264,8.36066,0.191986,1.97953e+09,-0.39866,0.991539,400.021,3.0626,351.594,250.178,5.88702,78918.5
05315.png,0.0650744,5.50689,0.584259,1.35776e+08,-0.659685,0.997658,58.1756,1.54056,54.2845,340.762,4.55814,139708
18250.png,0.054887,7.02759,0.38591,6.66238e+07,-0.484727,0.993999,428.932,2.68513,391.252,169.926,5.16014,55499
14516.png,0.00101665,7.99688,0.197067,6.33083e+08,-0.436165,0.993739,335.504,2.70077,304.361,148.541,5.78843,35254.3
04115.png,0.00364343,7.27569,0.349258,9.81235e+08,-0.559439,0.998105,227.536,2.17992,211.09,246.937,5.72517,96340
00978.png,0.000451703,8.58442,0.0985718,3.61477e+08,-0.291734,0.970848,400.498,3.31328,339.502,121.034,5.70156,23671.1
08125.png,0.00145097,7.99217,0.274399,3.04981e+09,-0.478605,0.996446,555.243,2.7277,514.421,332.304,5.92462,121403
00661.png,0.0037418,7.21691,0.371719,5.61628e+08,-0.568518,0.998252,164.179,2.11646,151.38,189.691,5.70022,51994.7
00837.png,0.00501903,8.04362,0.202103,6.49117e+08,-0.419467,0.992419,207.898,2.88333,175.754,217.833,5.72348,66003.3
13414.png,0.000435891,8.47393,0.120651,2.48754e+09,-0.386181,0.990568,250.634,2.91501,215.649,309.03,5.9327,107671
18820.png,0.00106555,7.63762,0.241669,1.21979e+09,-0.507866,0.997024,86.8466,2.23334,75.2806,221.994,5.80092,56453.1
15214.png,0.000406582,8.62015,0.131729,2.05024e+09,-0.371693,0.989352,364.311,3.10531,315.913,203.246,5.97241,55073.1
17041.png,0.000581511,8.17117,0.133957,5.30201e+08,-0.39157,0.98987,144.098,2.75208,119.321,137.55,5.76128,25846.2
06225.png,0.000330681,8.87249,0.0911102,1.95837e+09,-0.311295,0.979235,454.411,3.40447,385.467,197.878,5.9388,52530.2
18712.png,0.000431522,8.87117,0.165909,6.00295e+09,-0.367287,0.989898,693.811,3.32162,618.746,236.407,6.10936,70041.8
